STATEFIP,State,state_code,uninsured,Year
10,Delaware,DE,0.14220791604839497,2014
11,District of Columbia,DC,0.07539176108000174,2014
12,Florida,FL,0.29428778069229006,2014
13,Georgia,GA,0.2855004544953438,2014
15,Hawaii,HI,0.08529657717927276,2014
16,Idaho,ID,0.24693124523158544,2014
17,Illinois,IL,0.1763363287305854,2014
18,Indiana,IN,0.22178475347589305,2014
19,Iowa,IA,0.11113883895527123,2014
20,Kansas,KS,0.20146140676793065,2014
21,Kentucky,KY,0.18502352537307404,2014
22,Louisiana,LA,0.28039306994613017,2014
23,Maine,ME,0.18245144867972984,2014
24,Maryland,MD,0.14371733606961398,2014
25,Massachusetts,MA,0.06182673407551737,2014
26,Michigan,MI,0.16496151882784135,2014
27,Minnesota,MN,0.11063377478149859,2014
28,Mississippi,MS,0.2941211212379195,2014
29,Missouri,MO,0.2162648885604586,2014
30,Montana,MT,0.23895819030471033,2014
31,Nebraska,NE,0.1584295685135679,2014
32,Nevada,NV,0.24925738460376218,2014
33,New Hampshire,NH,0.16856062615609338,2014
34,New Jersey,NJ,0.20652174473772858,2014
35,New Mexico,NM,0.25302587222289913,2014
36,New York,NY,0.15153556123974354,2014
37,North Carolina,NC,0.23153460428946593,2014
38,North Dakota,ND,0.12242794313987278,2014
39,Ohio,OH,0.1512589937874928,2014
40,Oklahoma,OK,0.2651829735325121,2014
41,Oregon,OR,0.18343375622857547,2014
42,Pennsylvania,PA,0.16370489962681317,2014
44,Rhode Island,RI,0.136051178440652,2014
45,South Carolina,SC,0.25359658803471735,2014
46,South Dakota,SD,0.1947933896612872,2014
47,Tennessee,TN,0.21099809230347297,2014
48,Texas,TX,0.3220512771132773,2014
49,Utah,UT,0.1904555263955564,2014
50,Vermont,VT,0.0883464339799524,2014
51,Virginia,VA,0.1828232482263742,2014
53,Washington,WA,0.16851781426743265,2014
54,West Virginia,WV,0.19281228960754046,2014
55,Wisconsin,WI,0.14670205811063347,2014
56,Wyoming,WY,0.18670499152705977,2014
1,Alabama,AL,0.20748236703494172,2015
2,Alaska,AK,0.2100245657047134,2015
4,Arizona,AZ,0.19220536365847726,2015
5,Arkansas,AR,0.1922529722322373,2015
6,California,CA,0.14528877589945646,2015
8,Colorado,CO,0.1348164347064289,2015
9,Connecticut,CT,0.10585242116390876,2015
10,Delaware,DE,0.11594989542049385,2015
11,District of Columbia,DC,0.05331760139193482,2015
12,Florida,FL,0.24444540754927427,2015
13,Georgia,GA,0.25595460863431735,2015
15,Hawaii,HI,0.07226711169963722,2015
16,Idaho,ID,0.2060061402248578,2015
17,Illinois,IL,0.1276398876894044,2015
18,Indiana,IN,0.1703175876737728,2015
19,Iowa,IA,0.0927291357353464,2015
20,Kansas,KS,0.1714362608773661,2015
21,Kentucky,KY,0.11956515121689879,2015
22,Louisiana,LA,0.231054496837995,2015
23,Maine,ME,0.15594051966397668,2015
24,Maryland,MD,0.1209050894184293,2015
25,Massachusetts,MA,0.05490376780989756,2015
26,Michigan,MI,0.12100243329656372,2015
