State,Total,With health insurance coverage,No health insurance coverage,year,state_code,uninsured
New Hampshire,1324575,1186377,138198,2009,NH,0.104333843
New Jersey,8707740,7602571,1105169,2009,NJ,0.126918006
New Mexico,2009671,1598188,411483,2009,NM,0.204751424
New York,19541453,17258310,2283143,2009,NY,0.116835887
North Carolina,9380884,7878893,1501991,2009,NC,0.160111883
North Dakota,646844,582670,64174,2009,ND,0.099210938
Ohio,11542645,10111425,1431220,2009,OH,0.123994111
Oklahoma,3687050,2986517,700533,2009,OK,0.189998237
Oregon,3825657,3150151,675506,2009,OR,0.176572547
Pennsylvania,12604767,11354184,1250583,2009,PA,0.099215083
Rhode Island,1053209,934077,119132,2009,RI,0.113113352
South Carolina,4561242,3788743,772499,2009,SC,0.169361547
South Dakota,812383,702691,109692,2009,SD,0.135024982
Tennessee,6296254,5381784,914470,2009,TN,0.145240329
Texas,24782302,18792914,5989388,2009,TX,0.241680051
Utah,2784572,2380801,403771,2009,UT,0.145002895
Vermont,621760,568338,53422,2009,VT,0.085920612
Virginia,7882590,6962136,920454,2009,VA,0.116770503
Washington,6664195,5759509,904686,2009,WA,0.135753231
West Virginia,1819777,1559402,260375,2009,WV,0.143080718
Wisconsin,5654774,5117920,536854,2009,WI,0.094938189
Wyoming,544270,461437,82833,2009,WY,0.152191008
Alabama,4661900,3996862,665038,2008,AL,0.142653854
Alaska,686293,545361,140932,2008,AK,0.205352524
Arizona,6500180,5255786,1244394,2008,AZ,0.191439929
Arkansas,2855390,2337933,517457,2008,AR,0.181221129
California,36756666,30110970,6645696,2008,CA,0.18080247
Colorado,4939456,4088959,850497,2008,CO,0.172184346
Connecticut,3501252,3182010,319242,2008,CT,0.091179384
Delaware,873092,776651,96441,2008,DE,0.11045915
District of Columbia,591833,545339,46494,2008,DC,0.078559323
Florida,18328340,14417600,3910740,2008,FL,0.213371205
Georgia,9685744,7801187,1884557,2008,GA,0.194570185
Hawaii,1288198,1202403,85795,2008,HI,0.066600787
Idaho,1523816,1251248,272568,2008,ID,0.17887199
Illinois,12901564,11226069,1675495,2008,IL,0.129867588
Indiana,6376792,5477969,898823,2008,IN,0.140952222
Iowa,3002557,2736298,266259,2008,IA,0.088677417
Kansas,2802134,2442541,359593,2008,KS,0.128328267
Kentucky,4269245,3659425,609820,2008,KY,0.142840245
Louisiana,4410796,3595929,814867,2008,LA,0.184743751
Maine,1316456,1175455,141001,2008,ME,0.107106504
Maryland,5633597,4990756,642841,2008,MD,0.114108446
Massachusetts,6497967,6214767,283200,2008,MA,0.043582862
Michigan,10003422,8825529,1177893,2008,MI,0.117749006
Minnesota,5220393,4761428,458965,2008,MN,0.08791771
Mississippi,2938618,2393140,545478,2008,MS,0.185623991
Missouri,5911605,5129515,782090,2008,MO,0.132297405
Montana,967440,784839,182601,2008,MT,0.188746589
Nebraska,1783432,1590267,193165,2008,NE,0.10831083
Nevada,2600167,2030713,569454,2008,NV,0.219006702
New Hampshire,1315809,1171684,144125,2008,NH,0.109533375
New Jersey,8682661,7587946,1094715,2008,NJ,0.126080588
New Mexico,1984356,1552460,431896,2008,NM,0.217650462
New York,19490297,17149772,2340525,2008,NY,0.120086677
North Carolina,9222414,7734716,1487698,2008,NC,0.161313296
North Dakota,641481,578208,63273,2008,ND,0.098635813
Ohio,11485910,10097359,1388551,2008,OH,0.120891684
Oklahoma,3642361,2929973,712388,2008,OK,0.195584128
Oregon,3790060,3152871,637189,2008,OR,0.168121085
Pennsylvania,12448279,11218220,1230059,2008,PA,0.098813579
Rhode Island,1050788,940413,110375,2008,RI,0.105040217
South Carolina,4479800,3709133,770667,2008,SC,0.172031564
South Dakota,804194,709570,94624,2008,SD,0.117663151
Tennessee,6214888,5341946,872942,2008,TN,0.140459812
Texas,24326974,18400137,5926837,2008,TX,0.243632315
Utah,2736424,2319761,416663,2008,UT,0.152265511
Vermont,621270,566142,55128,2008,VT,0.088734367
Virginia,7769089,6853537,915552,2008,VA,0.117845477
Washington,6549224,5679739,869485,2008,WA,0.13276153
West Virginia,1814468,1530916,283552,2008,WV,0.156272803
Wisconsin,5627968,5104374,523594,2008,WI,0.093034289
Wyoming,532668,455265,77403,2008,WY,0.145311902
