State,Total,With health insurance coverage,No health insurance coverage,year,state_code,uninsured
Virginia,8470020,7704993,765027,2017,VA,0.090321747
Washington,7405743,6951930,453813,2017,WA,0.061278524
West Virginia,1815857,1702541,113316,2017,WV,0.062403592
Wisconsin,5795483,5484526,310957,2017,WI,0.053655062
Wyoming,579315,507924,71391,2017,WY,0.123233474
Alabama,4863300,4390945,472355,2016,AL,0.097126437
Alaska,741894,635232,106662,2016,AK,0.143769865
Arizona,6931071,6198777,732294,2016,AZ,0.105653802
Arkansas,2988248,2732986,255262,2016,AR,0.08542196
California,39250017,36287049,2962968,2016,CA,0.075489598
Colorado,5540545,5098821,441724,2016,CO,0.079725731
Connecticut,3576452,3403809,172643,2016,CT,0.048272142
Delaware,952065,892648,59417,2016,DE,0.062408554
District of Columbia,681170,653488,27682,2016,DC,0.040638901
Florida,20612439,17935011,2677428,2016,FL,0.129893799
Georgia,10310371,8925297,1385074,2016,GA,0.13433794
Hawaii,1428557,1377287,51270,2016,HI,0.035889362
Idaho,1683140,1503790,179350,2016,ID,0.106556793
Illinois,12801539,11952838,848701,2016,IL,0.066296794
Indiana,6633053,6081317,551736,2016,IN,0.083179797
Iowa,3134693,3004519,130174,2016,IA,0.041526874
Kansas,2907289,2657513,249776,2016,KS,0.085913715
Kentucky,4436974,4192020,244954,2016,KY,0.055207445
Louisiana,4681666,4166004,515662,2016,LA,0.110144978
Maine,1331479,1226348,105131,2016,ME,0.078958061
Maryland,6016447,5636616,379831,2016,MD,0.063132111
Massachusetts,6811885,6639121,172764,2016,MA,0.025362143
Michigan,9928300,9374146,554154,2016,MI,0.055815598
Minnesota,5519952,5280018,239934,2016,MN,0.043466682
Mississippi,2988726,2613173,375553,2016,MS,0.125656551
Missouri,6093000,5527746,565254,2016,MO,0.092771049
Montana,1042520,955399,87121,2016,MT,0.083567701
Nebraska,1907116,1740713,166403,2016,NE,0.087253738
Nevada,2940058,2607540,332518,2016,NV,0.113099129
New Hampshire,1334689,1249411,85278,2016,NH,0.063893536
New Jersey,8944469,8238454,706015,2016,NJ,0.078933137
New Mexico,2081015,1887593,193422,2016,NM,0.09294599
New York,19745289,18533835,1211454,2016,NY,0.061354078
North Carolina,10146788,9081500,1065288,2016,NC,0.104987706
North Dakota,757953,696713,61240,2016,ND,0.080796567
Ohio,11614373,10928406,685967,2016,OH,0.059061905
Oklahoma,3923561,3367352,556209,2016,OK,0.141761272
Oregon,4093465,3828452,265013,2016,OR,0.064740507
Pennsylvania,12784227,11985745,798482,2016,PA,0.062458372
Rhode Island,1056426,1011675,44751,2016,RI,0.042360752
South Carolina,4961119,4455268,505851,2016,SC,0.101963085
South Dakota,865454,790871,74583,2016,SD,0.08617789
Tennessee,6651194,6027267,623927,2016,TN,0.093806766
Texas,27862596,23083054,4779542,2016,TX,0.171539723
